Date,City,Country,AQI,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (ppb),SO2 (ppb),CO (ppm),O3 (ppb),Temperature (°C),Humidity (%),Wind Speed (m/s)
2024-01-08,Cairo,Egypt,298,95.7,245.2,6.4,15.8,0.71,145.8,24.0,38,3.0
2024-01-09,New York,USA,159,168.5,162.7,77.5,10.6,5.67,153.4,30.6,45,3.1
2024-01-09,Los Angeles,USA,220,168.0,121.1,47.2,48.8,6.45,70.7,4.9,35,10.0
2024-01-09,Delhi,India,186,151.2,75.5,70.8,34.8,1.52,140.8,6.3,69,13.2
2024-01-09,Paris,France,222,122.9,244.3,36.9,35.0,0.41,48.9,27.4,22,3.3
2024-01-09,São Paulo,Brazil,297,177.8,131.6,45.9,48.1,7.83,119.3,7.2,69,13.7
2024-01-09,Cairo,Egypt,285,144.9,55.6,34.0,23.5,0.16,129.9,2.1,27,11.6
2024-01-10,New York,USA,125,167.1,132.7,87.2,48.5,3.89,118.8,-7.5,21,3.8
2024-01-10,Los Angeles,USA,30,245.2,202.4,56.4,4.3,2.81,161.4,16.7,73,6.3
2024-01-10,Delhi,India,50,219.6,267.4,71.6,46.1,8.99,158.6,3.6,39,1.8
2024-01-10,Paris,France,49,189.8,279.0,13.8,15.1,8.55,123.3,18.7,76,3.5
2024-01-10,São Paulo,Brazil,273,84.0,201.5,69.9,45.0,8.17,92.8,27.0,71,6.7
2024-01-10,Cairo,Egypt,79,125.4,247.1,85.2,18.6,8.21,159.5,30.1,38,7.8
2024-01-11,New York,USA,78,41.5,94.0,75.5,19.3,1.18,197.3,18.1,50,5.3
2024-01-11,Los Angeles,USA,66,152.2,211.0,5.3,20.4,5.1,33.0,-1.6,78,2.3
2024-01-11,Delhi,India,171,75.9,98.5,77.5,3.7,3.78,165.1,10.4,82,12.5
2024-01-11,Paris,France,120,185.4,247.6,39.6,26.9,6.94,186.0,2.5,54,12.0
2024-01-11,São Paulo,Brazil,179,219.7,35.2,98.8,36.0,8.34,176.2,35.5,56,11.7
2024-01-11,Cairo,Egypt,161,222.3,211.7,67.6,29.9,1.04,114.9,16.0,59,13.5
2024-01-12,New York,USA,74,161.8,93.3,29.7,22.8,9.14,17.8,29.9,22,3.7
2024-01-12,Los Angeles,USA,132,164.5,66.0,5.3,25.5,8.21,39.2,39.6,61,4.3
2024-01-12,Delhi,India,177,41.7,205.0,85.6,17.6,6.34,13.9,15.6,86,14.9
2024-01-12,Paris,France,264,179.9,80.0,41.3,35.3,7.78,183.4,2.1,76,4.0
2024-01-12,São Paulo,Brazil,250,230.9,262.9,55.5,39.1,4.82,153.9,7.7,67,13.3
2024-01-12,Cairo,Egypt,296,44.6,164.2,45.4,16.7,9.85,176.2,-8.0,51,6.5
2024-01-13,New York,USA,136,108.9,46.0,39.8,14.4,9.1,187.0,-3.2,45,8.9
2024-01-13,Los Angeles,USA,289,69.5,137.3,33.4,20.1,1.18,21.3,35.9,90,13.9
2024-01-13,Delhi,India,214,216.8,251.1,75.0,44.7,4.48,31.8,14.4,38,4.0
2024-01-13,Paris,France,183,221.0,102.1,35.7,45.7,8.17,147.6,20.8,30,8.3
2024-01-13,São Paulo,Brazil,265,211.5,257.6,30.2,43.6,4.83,60.0,22.2,68,3.5
2024-01-13,Cairo,Egypt,192,97.7,199.0,25.1,16.4,0.43,29.3,-7.3,10,4.9
2024-01-14,New York,USA,217,26.4,277.3,33.2,21.3,6.79,94.1,25.5,62,14.7
2024-01-14,Los Angeles,USA,262,91.6,23.6,31.4,9.4,9.87,56.1,39.4,42,12.4
2024-01-14,Delhi,India,192,160.5,218.1,33.8,13.1,4.17,75.3,15.6,58,12.0
2024-01-14,Paris,France,160,242.9,76.7,75.8,36.1,4.87,112.2,19.8,73,8.3
2024-01-14,São Paulo,Brazil,265,83.1,228.5,51.2,31.7,8.95,97.5,34.7,58,8.6
2024-01-14,Cairo,Egypt,101,75.6,34.7,38.6,24.4,8.9,20.0,-2.4,29,13.6
2024-01-15,New York,USA,184,209.8,115.1,32.0,30.9,6.82,110.5,36.0,88,1.4
2024-01-15,Los Angeles,USA,157,160.1,166.5,18.9,40.7,2.97,122.1,37.4,86,9.3
2024-01-15,Delhi,India,276,132.9,174.4,37.9,12.5,0.73,167.5,6.6,28,5.4
2024-01-15,Paris,France,212,36.4,225.5,49.3,37.6,4.66,122.7,7.8,51,5.2
2024-01-15,São Paulo,Brazil,247,147.7,73.0,81.6,48.4,7.12,84.2,34.1,40,13.1
2024-01-15,Cairo,Egypt,245,182.9,234.6,84.2,7.2,9.16,52.4,-0.6,65,14.9
2024-01-16,New York,USA,284,64.8,136.7,26.8,15.7,6.59,165.0,38.0,21,14.9
2024-01-16,Los Angeles,USA,38,160.3,144.6,56.1,19.6,6.82,62.1,14.1,31,5.4
2024-01-16,Delhi,India,269,135.5,218.9,83.2,11.1,9.19,40.1,-7.4,83,2.4
2024-01-16,Paris,France,41,75.4,158.0,48.7,12.9,8.63,43.0,-4.4,33,5.4
2024-01-16,São Paulo,Brazil,100,104.8,218.5,5.6,12.9,8.34,195.5,39.3,76,8.5
2024-01-16,Cairo,Egypt,151,113.5,109.7,40.8,12.5,1.85,143.5,14.5,36,14.8
2024-01-17,New York,USA,146,152.0,61.4,95.6,26.9,5.9,126.3,-8.9,70,0.8
2024-01-17,Los Angeles,USA,145,20.6,138.0,49.6,28.8,8.44,10.6,38.1,10,14.0
2024-01-17,Delhi,India,139,137.4,118.0,91.4,49.8,1.69,69.1,32.6,61,0.7
2024-01-17,Paris,France,289,204.8,267.5,67.9,2.4,7.93,135.1,7.9,11,8.0
2024-01-17,São Paulo,Brazil,143,219.7,142.9,73.0,10.8,1.65,36.3,9.1,45,4.6
2024-01-17,Cairo,Egypt,117,19.9,126.9,24.3,38.2,3.71,40.5,12.3,63,4.5
2024-01-18,New York,USA,221,185.7,288.6,41.6,6.9,6.66,44.8,4.2,87,2.2
2024-01-18,Los Angeles,USA,117,156.2,41.2,38.4,16.7,5.55,71.9,20.9,63,5.2
2024-01-18,Delhi,India,282,132.2,239.4,23.7,45.0,9.89,109.0,4.0,61,2.9
2024-01-18,Paris,France,184,234.1,229.6,28.1,13.0,6.83,168.8,38.0,78,13.5
2024-01-18,São Paulo,Brazil,186,36.9,91.9,60.7,49.0,6.81,60.5,19.9,61,3.4
2024-01-18,Cairo,Egypt,193,54.8,257.0,91.6,38.3,5.95,118.2,0.6,90,1.1
2024-01-19,New York,USA,217,31.2,198.7,16.3,13.3,3.57,86.1,33.6,24,11.8
2024-01-19,Los Angeles,USA,75,62.7,121.0,46.7,46.3,2.38,41.3,-9.2,90,12.2
2024-01-19,Delhi,India,158,218.5,124.2,85.9,36.3,2.31,87.5,38.4,23,9.1
2024-01-19,Paris,France,32,67.1,279.9,79.2,23.5,6.28,21.8,5.9,28,7.9
2024-01-19,São Paulo,Brazil,151,96.6,160.0,55.7,22.6,4.01,13.7,13.5,25,7.7
2024-01-19,Cairo,Egypt,182,127.9,272.5,63.8,4.3,9.76,34.4,12.3,21,2.9
2024-01-20,New York,USA,50,100.5,95.5,86.2,12.7,7.51,71.7,-3.9,59,14.3
2024-01-20,Los Angeles,USA,65,177.4,31.9,69.2,5.7,9.29,19.4,9.4,55,2.0
2024-01-20,Delhi,India,263,132.1,141.2,93.7,8.8,9.83,152.3,7.1,48,12.2
2024-01-20,Paris,France,185,42.4,233.1,98.0,4.2,4.26,48.8,11.8,17,11.0
2024-01-20,São Paulo,Brazil,117,178.2,21.7,9.0,36.5,7.89,186.3,20.7,72,2.7
2024-01-20,Cairo,Egypt,38,142.8,73.0,89.7,3.1,0.57,74.8,24.0,17,4.6
2024-01-21,New York,USA,202,102.5,146.0,99.1,44.9,7.53,192.8,29.6,38,13.0
2024-01-21,Los Angeles,USA,134,128.7,37.3,66.6,16.5,2.88,133.7,37.0,27,11.1
2024-01-21,Delhi,India,157,107.2,283.9,17.0,43.5,2.85,190.6,34.7,20,11.8
2024-01-21,Paris,France,124,67.9,247.9,72.3,26.6,6.55,184.7,-3.0,57,12.4
2024-01-21,São Paulo,Brazil,159,97.8,21.6,59.6,24.5,7.19,178.8,-7.7,15,1.3
2024-01-21,Cairo,Egypt,33,212.0,267.1,71.6,15.1,4.64,107.2,38.2,90,13.6
2024-01-22,New York,USA,100,15.0,89.5,79.4,12.0,8.55,32.9,7.5,35,7.0
2024-01-22,Los Angeles,USA,192,171.4,58.7,39.5,27.5,4.3,58.5,16.0,72,1.8
2024-01-22,Delhi,India,135,87.5,231.1,87.7,7.4,3.91,66.7,19.4,16,7.4
2024-01-22,Paris,France,192,216.6,264.9,51.2,18.6,7.93,197.1,14.3,80,12.2
2024-01-22,São Paulo,Brazil,122,123.8,170.3,81.7,36.4,2.75,183.7,-3.9,75,12.9
2024-01-22,Cairo,Egypt,68,224.5,127.8,16.5,39.4,1.74,186.6,9.7,89,4.8
2024-01-23,New York,USA,76,103.6,108.3,5.1,19.7,2.9,197.6,1.9,26,12.5
2024-01-23,Los Angeles,USA,266,207.2,231.1,30.1,25.9,1.65,170.5,27.3,17,0.8
2024-01-23,Delhi,India,260,128.2,274.7,65.4,3.6,2.45,38.5,39.2,90,12.0
2024-01-23,Paris,France,288,146.1,57.7,85.4,36.7,5.86,152.8,23.2,84,1.2
2024-01-23,São Paulo,Brazil,176,37.3,176.9,94.9,40.4,5.73,29.2,34.0,79,3.2
2024-01-23,Cairo,Egypt,246,72.6,63.1,25.1,19.1,2.52,114.8,10.0,31,9.7
2024-01-24,New York,USA,35,157.1,240.5,51.3,37.4,6.81,126.9,3.8,79,14.0
2024-01-24,Los Angeles,USA,200,57.4,156.9,28.2,3.8,4.26,147.5,19.2,29,11.3
2024-01-24,Delhi,India,239,123.2,38.0,10.3,45.7,6.26,124.4,34.2,68,8.3
2024-01-24,Paris,France,85,196.7,286.7,46.9,22.5,8.88,59.6,-9.7,35,2.2
2024-01-24,São Paulo,Brazil,252,122.2,214.8,73.6,47.5,6.23,56.2,-6.3,21,9.9
2024-01-24,Cairo,Egypt,71,9.1,15.2,65.7,40.5,5.06,26.2,33.8,22,5.3
2024-01-25,New York,USA,110,205.7,18.4,36.1,47.6,7.48,41.8,-3.4,82,11.6
2024-01-25,Los Angeles,USA,299,73.3,68.3,94.9,36.8,5.9,134.7,27.7,65,6.6
2024-01-25,Delhi,India,107,43.8,221.4,67.8,21.9,7.3,159.2,35.5,18,2.2
2024-01-25,Paris,France,193,119.7,15.5,22.9,11.0,9.66,178.4,35.5,29,8.8
2024-01-25,São Paulo,Brazil,138,30.9,256.1,85.5,31.6,2.62,159.6,24.5,64,1.4
2024-01-25,Cairo,Egypt,264,163.0,207.7,11.1,19.6,0.41,138.0,26.7,51,7.0
2024-01-26,New York,USA,277,162.6,15.3,36.1,46.0,2.95,52.6,27.6,24,8.6
2024-01-26,Los Angeles,USA,287,163.0,290.4,26.2,15.9,9.48,112.8,11.9,17,9.5
2024-01-26,Delhi,India,267,116.1,270.7,57.8,5.0,3.26,51.4,36.7,69,5.7
2024-01-26,Paris,France,216,25.0,241.9,26.0,13.4,4.55,123.2,-2.5,77,7.5
2024-01-26,São Paulo,Brazil,133,109.0,50.0,89.1,15.0,3.89,148.5,18.6,75,4.1
2024-01-26,Cairo,Egypt,270,11.0,236.3,91.7,25.1,9.27,180.1,-1.6,23,9.9
2024-01-27,New York,USA,91,189.4,65.7,80.9,36.2,1.16,153.0,-5.8,25,12.1
2024-01-27,Los Angeles,USA,191,153.6,296.8,73.2,42.4,6.79,154.7,15.3,45,13.9
2024-01-27,Delhi,India,252,76.4,290.9,23.9,36.2,2.31,182.4,21.8,21,10.8
2024-01-27,Paris,France,174,26.2,47.8,60.4,20.0,2.06,116.8,2.9,85,12.4
2024-01-27,São Paulo,Brazil,122,40.9,131.0,73.0,29.4,6.4,182.2,26.1,24,11.1
2024-01-27,Cairo,Egypt,168,52.9,218.8,86.8,48.5,2.02,121.9,-7.9,87,13.1
2024-01-28,New York,USA,106,49.0,67.1,6.1,45.0,4.4,169.7,20.3,20,11.4
2024-01-28,Los Angeles,USA,296,44.5,216.9,15.8,48.0,1.69,67.2,34.4,77,6.0
2024-01-28,Delhi,India,277,164.3,120.1,43.3,4.2,4.74,124.5,23.3,32,12.9
2024-01-28,Paris,France,83,187.8,140.8,56.5,20.4,2.56,152.2,6.8,43,4.4
2024-01-28,São Paulo,Brazil,169,61.4,146.5,27.5,11.7,1.03,199.2,14.0,60,11.1
2024-01-28,Cairo,Egypt,242,169.9,296.6,21.5,16.5,5.8,22.9,-4.8,12,12.1
2024-01-29,New York,USA,155,156.7,108.5,78.8,3.5,8.33,154.3,33.0,66,1.9
2024-01-29,Los Angeles,USA,287,38.8,260.1,6.4,26.1,6.06,169.5,0.5,64,10.8
2024-01-29,Delhi,India,154,177.3,63.8,88.9,12.3,6.68,183.9,-7.9,82,12.8
2024-01-29,Paris,France,79,227.2,240.0,47.5,20.4,7.69,81.9,30.2,63,3.4
2024-01-29,São Paulo,Brazil,300,248.8,97.7,18.9,19.8,4.94,73.7,37.3,49,12.6
2024-01-29,Cairo,Egypt,88,117.4,162.1,43.0,40.3,7.44,169.6,5.2,90,7.3
2024-01-30,New York,USA,102,112.1,225.0,89.9,33.1,3.26,92.2,21.7,66,6.8
2024-01-30,Los Angeles,USA,212,82.1,124.6,12.1,26.7,2.54,68.8,8.3,33,10.9
2024-01-30,Delhi,India,223,93.7,117.1,61.7,5.3,0.91,130.8,15.4,67,8.2
2024-01-30,Paris,France,222,225.9,193.9,80.6,42.4,4.98,134.2,-2.9,89,1.4
2024-01-30,São Paulo,Brazil,178,178.3,194.2,49.0,40.5,3.43,183.4,-8.7,17,10.3
2024-01-30,Cairo,Egypt,219,6.7,250.9,98.9,11.3,5.32,126.3,14.7,55,14.8
2024-01-31,New York,USA,126,83.4,29.0,28.1,35.3,4.99,38.3,-4.5,73,5.4
2024-01-31,Los Angeles,USA,116,24.4,254.3,88.2,39.0,5.07,100.5,9.6,39,11.6
2024-01-31,Delhi,India,294,229.4,23.2,64.2,25.3,5.98,168.4,37.9,60,0.7
2024-01-31,Paris,France,176,135.9,243.1,72.2,20.4,3.38,14.9,20.1,44,10.2
2024-01-31,São Paulo,Brazil,231,45.4,267.1,37.5,17.8,3.14,53.1,-7.1,83,9.3
2024-01-31,Cairo,Egypt,147,39.0,253.4,20.7,5.7,4.11,193.0,26.8,63,4.3
2024-02-01,New York,USA,93,135.8,266.4,25.1,28.7,1.83,153.7,17.2,31,13.3
2024-02-01,Los Angeles,USA,281,174.3,273.4,82.9,32.6,0.64,147.5,8.3,79,8.2
2024-02-01,Delhi,India,270,23.9,88.2,32.7,7.9,6.32,112.4,32.6,67,1.2
2024-02-01,Paris,France,204,201.3,44.2,95.8,8.4,8.15,45.0,2.1,31,10.9
2024-02-01,São Paulo,Brazil,68,48.1,121.7,61.6,27.0,7.92,172.0,33.4,43,0.8
2024-02-01,Cairo,Egypt,264,31.7,25.6,5.3,42.8,1.47,116.1,2.0,90,3.4
2024-02-02,New York,USA,64,225.8,71.4,16.2,35.6,1.21,87.0,4.4,86,9.1
2024-02-02,Los Angeles,USA,75,74.4,223.6,83.7,2.3,6.26,154.1,-5.8,59,14.4
2024-02-02,Delhi,India,144,202.4,298.5,44.9,48.7,2.34,43.4,13.7,31,4.9
2024-02-02,Paris,France,206,195.3,38.6,42.0,7.3,6.34,124.7,4.9,56,2.9
2024-02-02,São Paulo,Brazil,223,127.5,117.8,72.9,24.8,9.88,105.2,30.1,15,8.2
2024-02-02,Cairo,Egypt,158,233.1,278.3,63.4,5.9,0.47,198.2,20.5,72,6.7
2024-02-03,New York,USA,163,232.1,112.7,85.2,48.1,4.32,108.0,39.1,22,5.5
2024-02-03,Los Angeles,USA,45,177.9,27.9,56.2,24.3,4.55,32.2,10.8,28,8.0
2024-02-03,Delhi,India,230,223.6,283.7,65.7,43.5,5.81,104.4,25.3,65,11.3
2024-02-03,Paris,France,121,5.8,281.7,70.5,33.4,8.67,191.3,11.4,54,3.2
2024-02-03,São Paulo,Brazil,66,154.5,46.2,17.1,27.1,8.97,191.8,14.3,42,3.2
2024-02-03,Cairo,Egypt,160,43.8,227.0,85.1,31.2,4.2,163.9,22.0,52,11.6
2024-02-04,New York,USA,92,22.2,166.7,28.4,29.8,4.77,28.1,25.8,21,6.8
2024-02-04,Los Angeles,USA,91,173.9,210.0,28.8,42.1,7.38,137.7,29.5,42,4.6
2024-02-04,Delhi,India,234,116.0,122.4,63.3,33.2,8.31,170.5,35.2,79,11.6
2024-02-04,Paris,France,221,214.8,169.6,14.5,26.3,2.4,95.6,9.1,80,8.9
2024-02-04,São Paulo,Brazil,52,149.9,233.2,96.4,41.9,2.78,34.8,23.5,16,4.8
2024-02-04,Cairo,Egypt,255,231.1,177.5,10.5,30.0,7.44,115.8,17.7,32,3.7
2024-02-05,New York,USA,96,136.5,70.1,26.0,47.6,8.87,195.9,12.1,46,15.0
2024-02-05,Los Angeles,USA,152,107.8,274.4,98.9,8.0,7.65,116.4,6.9,70,9.0
2024-02-05,Delhi,India,139,63.0,187.6,71.0,27.3,7.59,120.3,20.8,44,2.4
2024-02-05,Paris,France,85,238.4,138.1,82.2,32.1,4.5,147.2,9.1,23,12.3
2024-02-05,São Paulo,Brazil,56,17.4,269.1,74.8,9.0,7.01,108.1,24.5,85,3.2
2024-02-05,Cairo,Egypt,256,163.9,42.0,62.7,29.7,1.54,63.7,-9.1,62,9.5
2024-02-06,New York,USA,55,69.9,294.4,55.2,22.0,2.86,195.8,-7.9,26,14.0
2024-02-06,Los Angeles,USA,258,93.2,36.7,80.6,33.2,0.39,39.7,-2.1,16,9.4
2024-02-06,Delhi,India,285,27.2,98.7,91.4,24.1,1.3,199.4,-8.2,48,10.1
2024-02-06,Paris,France,296,240.2,245.4,92.4,10.9,7.99,179.7,17.5,72,2.3
2024-02-06,São Paulo,Brazil,66,214.9,275.9,54.7,27.7,2.86,30.4,13.7,81,5.4
2024-02-06,Cairo,Egypt,133,103.5,81.6,49.8,6.2,8.89,41.3,13.0,72,4.8
2024-02-07,New York,USA,98,28.5,287.3,81.9,42.4,2.46,41.2,25.3,13,14.9
2024-02-07,Los Angeles,USA,53,11.0,143.3,79.3,17.5,0.39,152.4,6.8,18,1.7
2024-02-07,Delhi,India,111,170.8,62.8,22.5,25.4,6.26,35.9,-2.5,54,6.7
2024-02-07,Paris,France,38,152.0,152.0,37.9,14.5,9.32,163.6,17.2,65,14.6
2024-02-07,São Paulo,Brazil,263,134.2,234.6,68.7,37.1,1.46,47.1,30.5,65,9.5
2024-02-07,Cairo,Egypt,44,63.5,93.1,64.6,17.3,0.5,145.5,23.7,81,3.1
2024-02-08,New York,USA,191,110.2,202.2,41.5,42.5,2.2,13.2,-1.5,12,3.4
2024-02-08,Los Angeles,USA,238,20.8,149.8,38.7,50.0,5.57,52.1,12.3,73,4.2
2024-02-08,Delhi,India,42,15.4,68.1,43.7,26.3,5.58,42.8,-1.2,75,2.2
2024-02-08,Paris,France,176,131.6,24.4,16.1,32.6,8.69,88.6,22.6,16,1.5
2024-02-08,São Paulo,Brazil,126,177.5,275.2,11.3,39.2,9.36,17.3,11.4,22,3.3
2024-02-08,Cairo,Egypt,94,150.1,135.1,38.7,7.5,1.18,107.2,1.5,70,7.5
2024-02-09,New York,USA,52,55.8,295.7,24.8,24.2,5.81,165.9,28.3,54,8.5
2024-02-09,Los Angeles,USA,48,218.0,205.0,12.5,42.0,1.15,93.5,32.7,22,6.4
2024-02-09,Delhi,India,181,157.3,268.2,98.3,43.7,9.5,120.9,24.4,88,1.6
2024-02-09,Paris,France,189,123.5,209.1,86.6,16.2,6.86,74.5,30.5,63,12.5
2024-02-09,São Paulo,Brazil,165,162.9,202.2,9.1,12.2,7.94,193.7,38.6,44,2.4
2024-02-09,Cairo,Egypt,124,218.9,244.5,84.8,35.5,6.36,159.5,25.7,14,2.9
2024-02-10,New York,USA,89,42.7,238.8,39.3,3.3,5.06,128.8,-9.3,79,7.7
2024-02-10,Los Angeles,USA,275,154.8,16.4,87.7,13.8,5.83,105.3,10.2,16,13.9
2024-02-10,Delhi,India,77,18.1,164.8,35.2,37.2,4.19,199.5,22.9,51,6.2
2024-02-10,Paris,France,225,59.5,15.9,99.8,46.0,3.22,194.2,33.0,66,12.8
2024-02-10,São Paulo,Brazil,83,56.1,39.4,38.0,31.2,3.94,166.0,-9.9,29,6.7
2024-02-10,Cairo,Egypt,177,83.3,93.0,18.7,49.7,9.7,111.4,3.8,85,9.5
2024-02-11,New York,USA,164,42.4,89.9,35.3,17.4,3.31,137.8,36.9,54,3.3
2024-02-11,Los Angeles,USA,56,149.6,132.1,5.2,17.9,2.84,93.3,11.9,77,0.8
2024-02-11,Delhi,India,248,127.0,11.9,52.8,10.2,7.6,193.2,5.5,21,8.3
2024-02-11,Paris,France,102,114.7,52.2,73.0,2.5,8.86,174.3,5.6,87,7.1
2024-02-11,São Paulo,Brazil,255,200.6,179.3,88.2,7.9,6.4,152.6,7.8,10,5.0
2024-02-11,Cairo,Egypt,35,76.0,205.3,38.5,11.8,0.86,137.2,6.8,19,7.7
2024-02-12,New York,USA,52,168.7,227.7,60.1,9.0,5.06,112.5,31.6,10,4.4
2024-02-12,Los Angeles,USA,166,248.3,164.2,19.5,13.9,9.59,44.7,-8.8,59,12.7
2024-02-12,Delhi,India,158,103.5,108.9,64.0,26.5,7.31,187.1,-7.1,84,6.6
2024-02-12,Paris,France,60,115.6,150.1,46.9,9.9,9.5,156.9,1.8,16,6.8
2024-02-12,São Paulo,Brazil,43,209.8,164.7,63.8,9.5,0.55,44.2,17.2,35,10.9
2024-02-12,Cairo,Egypt,193,6.0,162.6,21.5,7.7,1.82,153.8,-7.9,10,2.7
2024-02-13,New York,USA,219,109.5,94.9,33.3,33.8,8.46,126.0,20.9,72,3.4
2024-02-13,Los Angeles,USA,121,159.6,105.3,13.4,13.6,6.72,77.1,33.0,54,11.8
2024-02-13,Delhi,India,235,168.3,249.3,74.3,46.7,5.63,74.3,0.8,32,14.0
2024-02-13,Paris,France,71,116.3,253.1,58.6,50.0,7.38,143.1,24.8,38,7.3
2024-02-13,São Paulo,Brazil,197,152.8,91.8,87.6,5.1,3.02,71.7,25.7,87,2.8
2024-02-13,Cairo,Egypt,210,237.4,154.0,70.3,42.0,8.67,26.1,5.2,56,14.8
2024-02-14,New York,USA,123,213.4,208.7,37.1,27.6,8.51,100.6,33.1,74,1.5
2024-02-14,Los Angeles,USA,263,51.4,12.1,44.7,48.5,5.82,128.6,-9.4,42,6.2
2024-02-14,Delhi,India,71,26.6,14.6,99.4,15.3,3.39,185.9,28.5,64,7.5
